a,b,c,d,gain
1.12e-05,0.0003889991,2.933333e-06,4.69e-05,20.04884733
1.12e-05,0.0003889991,2.933333e-06,5.12e-05,21.19912817
1.12e-05,0.0003889991,2.933333e-06,5.55e-05,22.30510317
1.12e-05,0.0003889991,2.933333e-06,5.97e-05,23.3836255
1.12e-05,0.0003889991,2.933333e-06,6.4e-05,24.44407859
1.12e-05,0.0003889991,2.933333e-06,6.83e-05,25.49672936
1.12e-05,0.0003889991,2.933333e-06,7.25e-05,26.55238146
1.12e-05,0.0003889991,2.933333e-06,7.68e-05,27.62287921
1.12e-05,0.0003889991,2.933333e-06,8.11e-05,28.7328664
1.12e-05,0.0003889991,2.933333e-06,8.53e-05,29.87847075
1.12e-05,0.0003889991,2.933333e-06,8.96e-05,31.08276132
1.12e-05,0.0003889991,2.933333e-06,3.84e-05,17.80242725
1.12e-05,0.0003889991,2.933333e-06,4.27e-05,19.09032604
1.12e-05,0.0003889991,2.933333e-06,4.69e-05,20.29568577
1.12e-05,0.0003889991,2.933333e-06,5.12e-05,21.44346297
1.12e-05,0.0003889991,2.933333e-06,5.55e-05,22.54500957
1.12e-05,0.0003889991,2.933333e-06,5.97e-05,23.61873895
1.12e-05,0.0003889991,2.933333e-06,6.4e-05,24.67279067
1.12e-05,0.0003889991,2.933333e-06,6.83e-05,25.71816438
1.12e-05,0.0003889991,2.933333e-06,7.25e-05,26.76583148
1.12e-05,0.0003889991,2.933333e-06,7.68e-05,27.82715695
