W,X,Y,UGF
5.55E-05,3.82E-06,6.22E-06,142856045.6
5.55E-05,3.82E-06,6.93E-06,144650009.2
5.55E-05,3.82E-06,7.64E-06,146141711.4
5.55E-05,3.82E-06,8.36E-06,147402740.1
5.55E-05,3.82E-06,9.07E-06,148483220.6
5.55E-05,3.82E-06,9.78E-06,149419369.1
5.55E-05,4.18E-06,1.12E-05,154506691.4
5.55E-05,4.18E-06,1.05E-05,153656283.1
5.55E-05,4.18E-06,4.80E-06,139877790.5
5.55E-05,4.18E-06,5.51E-06,142640149.4
5.55E-05,4.18E-06,6.22E-06,144830890.9
5.55E-05,4.18E-06,6.93E-06,146614652.9
5.55E-05,4.18E-06,7.64E-06,148097290.6
5.55E-05,4.18E-06,8.36E-06,149350149.8
5.55E-05,4.18E-06,9.07E-06,150423182.1
5.55E-05,4.18E-06,9.78E-06,151352475.9
5.55E-05,4.53E-06,1.12E-05,156235281.7
5.55E-05,4.53E-06,1.05E-05,155391995.2
5.55E-05,4.53E-06,4.80E-06,141665458.1
5.55E-05,4.53E-06,5.51E-06,144416240.6
5.55E-05,4.53E-06,6.22E-06,146597059.8
5.55E-05,4.53E-06,6.93E-06,148372124.3
5.55E-05,4.53E-06,7.64E-06,149847003.6
5.55E-05,4.53E-06,8.36E-06,151092844.9
5.55E-05,4.53E-06,9.07E-06,152159457.3
5.55E-05,4.53E-06,9.78E-06,153082824.1
5.55E-05,4.89E-06,1.12E-05,157797933.9
5.55E-05,4.89E-06,1.05E-05,156960925.6
5.55E-05,4.89E-06,4.80E-06,143278557.3
5.55E-05,4.89E-06,5.51E-06,146019448
5.55E-05,4.89E-06,6.22E-06,148191747
5.55E-05,4.89E-06,6.93E-06,149959310.4
5.55E-05,4.89E-06,7.64E-06,151427471.9
5.55E-05,4.89E-06,8.36E-06,152667214.6
5.55E-05,4.89E-06,9.07E-06,153728229.5
5.55E-05,4.89E-06,9.78E-06,154646412.5
5.55E-05,5.60E-06,1.12E-05,163174727.4
5.55E-05,5.60E-06,1.05E-05,161274006.1
5.55E-05,5.60E-06,4.80E-06,146090311.4
5.55E-05,5.60E-06,5.51E-06,148815237.7
5.55E-05,5.60E-06,6.22E-06,150973683.4
5.55E-05,5.60E-06,6.93E-06,152728970.8
5.55E-05,5.60E-06,7.64E-06,154186073.9
5.55E-05,5.60E-06,8.36E-06,155415724.5
